,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,Posession_Change,HQ_Pass
1250,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:48,5,5,2,1,Boston Pride,Mallory Souliotis,Play,79,26,Indirect,,,,Kaleigh Fratkin,65.0,78.0,828,1250,Away Team,121,135.0,59,7.0,53.851648071345046,-1,Close Trail,"[151, 151]",151,151,Even,No,Yes
1252,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:38,5,5,2,1,Boston Pride,Kaleigh Fratkin,Incomplete Play,197,58,Direct,,,,McKenna Brand,182.0,55.0,818,1252,Away Team,3,18.0,27,30.0,15.297058540778355,-1,Close Trail,"[158, 158]",158,158,Even,No,No
1254,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:36,5,5,2,1,Boston Pride,Kaleigh Fratkin,Play,199,61,Indirect,,,,McKenna Brand,167.0,83.0,816,1254,Away Team,1,33.0,24,2.0,38.832975677895206,-1,Close Trail,"[152, 152]",152,152,Even,No,Yes
1255,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:32,5,5,2,1,Boston Pride,McKenna Brand,Play,131,53,Indirect,,,,Jillian Dempsey,195.0,69.0,812,1255,Away Team,69,5.0,32,16.0,65.96969000988257,-1,Close Trail,"[155, 155]",155,155,Even,No,Yes
1256,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:26,5,5,2,1,Boston Pride,Jillian Dempsey,Play,199,63,Direct,,,,Christina Putigna,197.0,37.0,806,1256,Away Team,1,3.0,22,48.0,26.0768096208106,-1,Close Trail,"[158, 158]",158,158,Even,No,Yes
1257,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:18,5,5,2,1,Boston Pride,Christina Putigna,Play,193,66,Direct,,,,McKenna Brand,167.0,82.0,798,1257,Away Team,7,33.0,19,3.0,30.528675044947487,-1,Close Trail,"[166, 166]",166,166,Even,No,No
1258,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:17,5,5,2,1,Boston Pride,McKenna Brand,Incomplete Play,162,82,Indirect,,,,Christina Putigna,190.0,77.0,797,1258,Away Team,38,10.0,3,8.0,28.442925306655784,-1,Close Trail,"[167, 167]",167,167,Even,No,No
1260,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:13,5,5,2,1,Minnesota Whitecaps,Maddie Rowe,Incomplete Play,1,37,Indirect,,,,Audra Richards,53.0,83.0,793,1260,Home Team,1,53.0,37,83.0,69.42621983083913,1,Close Lead,"[168, 168]",168,168,Even,No,No
1262,2021-01-23,Minnesota Whitecaps,Boston Pride,3,13:09,5,5,2,1,Boston Pride,Mallory Souliotis,Incomplete Play,185,26,Direct,,,,McKenna Brand,170.0,45.0,789,1262,Away Team,15,30.0,59,40.0,24.20743687382041,-1,Close Trail,"[164, 164]",164,164,Even,No,No
1269,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:57,5,5,2,1,Boston Pride,Taylor Turnquist,Incomplete Play,85,83,Indirect,,,,Meghara McManus,105.0,85.0,777,1269,Away Team,115,95.0,2,0.0,20.09975124224178,-1,Close Trail,"[160, 160]",160,160,Even,No,No
1271,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:55,5,5,2,1,Minnesota Whitecaps,Haylea Schmid,Play,113,15,Direct,,,,Sydney Baldwin,90.0,19.0,775,1271,Home Team,113,90.0,15,19.0,23.3452350598575,1,Close Lead,"[161, 161]",161,161,Even,No,Yes
1272,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:54,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,90,19,Direct,,,,Allie Thunstrom,117.0,58.0,774,1272,Home Team,90,117.0,19,58.0,47.434164902525694,1,Close Lead,"[160, 160]",160,160,Even,No,Yes
1274,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:48,5,5,2,1,Minnesota Whitecaps,Allie Thunstrom,Incomplete Play,189,30,Direct,,,,Haylea Schmid,175.0,48.0,768,1274,Home Team,189,175.0,30,48.0,22.803508501982762,1,Close Lead,"[166, 163]",166,163,Even,Yes,No
1276,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:44,5,5,2,1,Minnesota Whitecaps,Haley Mack,Play,182,77,Direct,,,,Maddie Rowe,127.0,75.0,764,1276,Home Team,182,127.0,77,75.0,55.036351623268054,1,Close Lead,"[163, 163]",163,163,Even,No,Yes
1280,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:40,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Incomplete Play,161,1,Direct,,,,Allie Thunstrom,188.0,31.0,760,1280,Home Team,161,188.0,1,31.0,40.36087214122113,1,Close Lead,"[162, 161]",162,161,Even,Yes,No
1282,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:38,5,5,2,1,Boston Pride,Taylor Turnquist,Incomplete Play,4,70,Indirect,,,,Carlee Turner,29.0,85.0,758,1282,Away Team,196,171.0,15,0.0,29.154759474226502,-1,Close Trail,"[153, 153]",153,153,Even,No,No
1285,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:29,5,5,2,1,Boston Pride,Taylor Turnquist,Play,50,65,Direct,,,,Carlee Turner,77.0,61.0,749,1285,Away Team,150,123.0,20,24.0,27.29468812791236,-1,Close Trail,"[162, 154]",162,154,Even,Yes,Yes
1286,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:27,5,5,2,1,Boston Pride,Carlee Turner,Play,100,60,Direct,,,,Meghara McManus,111.0,73.0,747,1286,Away Team,100,89.0,25,12.0,17.029386365926403,-1,Close Trail,"[164, 153]",164,153,Even,Yes,Yes
1290,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:22,5,5,2,1,Boston Pride,Meaghan Rickard,Play,162,2,Direct,,,,Meghara McManus,194.0,19.0,742,1290,Away Team,38,6.0,83,66.0,36.23534186398688,-1,Close Trail,"[153, 150]",153,150,Even,Yes,Yes
1291,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:19,5,5,2,1,Boston Pride,Meghara McManus,Play,192,34,Direct,,,,Meaghan Rickard,176.0,41.0,739,1291,Away Team,8,24.0,51,44.0,17.464249196572982,-1,Close Trail,"[156, 151]",156,151,Even,Yes,Yes
1295,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:13,5,5,2,1,Minnesota Whitecaps,Haley Mack,Play,60,8,Direct,,,,Sydney Baldwin,48.0,7.0,733,1295,Home Team,60,48.0,8,7.0,12.041594578792296,1,Close Lead,"[152, 149]",152,149,Even,Yes,No
1297,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:06,5,5,2,1,Boston Pride,Meaghan Rickard,Play,196,65,Indirect,,,,Mallory Souliotis,150.0,4.0,726,1297,Away Team,4,50.0,20,81.0,76.40026177965623,-1,Close Trail,"[153, 153]",153,153,Even,No,No
1298,2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:01,5,5,2,1,Boston Pride,Mallory Souliotis,Play,166,16,Direct,,,,Mary Parker,175.0,59.0,721,1298,Away Team,34,25.0,69,26.0,43.93176527297759,-1,Close Trail,"[156, 156]",156,156,Even,No,No
1303,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:47,5,5,2,1,Minnesota Whitecaps,Haley Mack,Incomplete Play,187,7,Indirect,,,,Sara Bustad,156.0,83.0,707,1303,Home Team,187,156.0,7,83.0,82.07923001588159,1,Close Lead,"[178, 163]",178,163,Even,Yes,No
1305,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:43,5,5,2,1,Boston Pride,Tori Sullivan,Incomplete Play,29,5,Indirect,,,,Lexie Laing,55.0,3.0,703,1305,Away Team,171,145.0,80,82.0,26.0768096208106,-1,Close Trail,"[167, 166]",167,166,Even,Yes,No
1307,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:35,5,5,2,1,Boston Pride,Tori Sullivan,Incomplete Play,12,27,Direct,,,,Mary Parker,74.0,80.0,695,1307,Away Team,188,126.0,58,5.0,81.5659242576212,-1,Close Trail,"[172, 172]",172,172,Even,No,No
1309,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:30,5,5,2,1,Minnesota Whitecaps,Winny Brodt-Brown,Play,37,37,Direct,,,,Sara Bustad,47.0,79.0,690,1309,Home Team,37,47.0,37,79.0,43.17406628984581,1,Close Lead,"[179, 173]",179,173,Even,Yes,Yes
1310,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:28,5,5,2,1,Minnesota Whitecaps,Sara Bustad,Play,56,82,Indirect,,,,Brooke White,125.0,13.0,688,1310,Home Team,56,125.0,82,13.0,97.58073580374355,1,Close Lead,"[181, 174]",181,174,Even,Yes,Yes
1312,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:24,5,5,2,1,Minnesota Whitecaps,Brooke White,Play,147,7,Indirect,,,,Meghan Lorence,144.0,10.0,684,1312,Home Team,147,144.0,7,10.0,4.242640687119285,1,Close Lead,"[185, 176]",185,176,Even,Yes,No
1314,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:15,5,5,2,1,Boston Pride,Jenna Rheault,Incomplete Play,16,78,Direct,,,,Mary Parker,64.0,83.0,675,1314,Away Team,184,136.0,7,2.0,48.25971404805462,-1,Close Trail,"[183, 182]",183,182,Even,Yes,No
1318,2021-01-23,Minnesota Whitecaps,Boston Pride,3,11:08,5,5,2,1,Boston Pride,Mary Parker,Play,94,85,Direct,,,,Jenna Rheault,42.0,78.0,668,1318,Away Team,106,158.0,0,7.0,52.469038489379614,-1,Close Trail,"[180, 180]",180,180,Even,No,Yes
1322,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:55,5,5,2,1,Minnesota Whitecaps,Sara Bustad,Play,1,40,Indirect,,,,Winny Brodt-Brown,3.0,28.0,655,1322,Home Team,1,3.0,40,28.0,12.16552506059644,1,Close Lead,"[192, 185]",192,185,Even,Yes,Yes
1323,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:53,5,5,2,1,Minnesota Whitecaps,Winny Brodt-Brown,Play,8,12,Direct,,,,Brooke White,55.0,6.0,653,1323,Home Team,8,55.0,12,6.0,47.38143096192854,1,Close Lead,"[194, 182]",194,182,Even,Yes,Yes
1324,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:49,5,5,2,1,Minnesota Whitecaps,Brooke White,Incomplete Play,91,23,Direct,,,,Audra Richards,99.0,43.0,649,1324,Home Team,91,99.0,23,43.0,21.54065922853801,1,Close Lead,"[184, 184]",184,184,Even,No,No
1326,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:41,5,5,2,1,Minnesota Whitecaps,Winny Brodt-Brown,Play,34,74,Direct,,,,Jonna Curtis,94.0,80.0,641,1326,Home Team,34,94.0,74,80.0,60.29925372672534,1,Close Lead,"[190, 187]",190,187,Even,Yes,Yes
1328,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:36,5,5,2,1,Minnesota Whitecaps,Jonna Curtis,Incomplete Play,179,64,Direct,,,,Meaghan Pezon,169.0,53.0,636,1328,Home Team,179,169.0,64,53.0,14.866068747318506,1,Close Lead,"[195, 188]",195,188,Even,Yes,No
1330,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:33,5,5,2,1,Minnesota Whitecaps,Emma Stauber,Incomplete Play,140,2,Indirect,,,,Meaghan Pezon,197.0,53.0,633,1330,Home Team,140,197.0,2,53.0,76.48529270389176,1,Close Lead,"[186, 186]",186,186,Even,No,No
1336,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:25,5,4,2,1,Minnesota Whitecaps,Emma Stauber,Play,129,1,Indirect,,,,Jonna Curtis,130.0,3.0,625,1336,Home Team,129,130.0,1,3.0,2.23606797749979,1,Close Lead,"[170, 170]",170,170,Advantage,No,Yes
1338,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:20,5,4,2,1,Minnesota Whitecaps,Emma Stauber,Incomplete Play,119,1,Direct,,,,Allie Thunstrom,108.0,22.0,620,1338,Home Team,119,108.0,1,22.0,23.706539182259394,1,Close Lead,"[173, 173]",173,173,Advantage,No,No
1340,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:17,5,4,2,1,Minnesota Whitecaps,Jonna Curtis,Play,110,13,Indirect,,,,Allie Thunstrom,98.0,77.0,617,1340,Home Team,110,98.0,13,77.0,65.11528238439882,1,Close Lead,"[173, 168]",173,168,Advantage,Yes,Yes
1341,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:14,5,4,2,1,Minnesota Whitecaps,Allie Thunstrom,Play,84,83,Direct,,,,Maddie Rowe,46.0,59.0,614,1341,Home Team,84,46.0,83,59.0,44.94441010848846,1,Close Lead,"[176, 166]",176,166,Advantage,Yes,Yes
1342,2021-01-23,Minnesota Whitecaps,Boston Pride,3,10:11,5,4,2,1,Minnesota Whitecaps,Maddie Rowe,Play,40,38,Direct,,,,Emma Stauber,84.0,3.0,611,1342,Home Team,40,84.0,38,3.0,56.222771187482394,1,Close Lead,"[169, 169]",169,169,Advantage,No,Yes
1348,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:57,5,4,2,1,Minnesota Whitecaps,Amanda Leveille,Incomplete Play,1,40,Indirect,,,,Emma Stauber,23.0,31.0,597,1348,Home Team,1,23.0,40,31.0,23.769728648009423,1,Close Lead,"[172, 172]",172,172,Advantage,No,No
1350,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:53,5,4,2,1,Minnesota Whitecaps,Emma Stauber,Play,24,4,Direct,,,,Jonna Curtis,79.0,11.0,593,1350,Home Team,24,79.0,4,11.0,55.44366510251645,1,Close Lead,"[174, 174]",174,174,Advantage,No,Yes
1352,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:47,5,4,2,1,Minnesota Whitecaps,Jonna Curtis,Incomplete Play,144,5,Direct,,,,Audra Richards,158.0,37.0,587,1352,Home Team,144,158.0,5,37.0,34.928498393145965,1,Close Lead,"[180, 174]",180,174,Advantage,Yes,No
1354,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:44,5,4,2,1,Boston Pride,Jillian Dempsey,Play,37,78,Indirect,,,,McKenna Brand,112.0,84.0,584,1354,Away Team,163,88.0,7,1.0,75.23961722390672,-1,Close Trail,"[172, 172]",172,172,Shorthanded,No,No
1357,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:36,5,4,2,1,Minnesota Whitecaps,Stephanie Anderson,Play,148,14,Direct,,,,Audra Richards,137.0,47.0,576,1357,Home Team,148,137.0,14,47.0,34.785054261852174,1,Close Lead,"[177, 177]",177,177,Advantage,No,Yes
1358,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:35,5,4,2,1,Minnesota Whitecaps,Audra Richards,Play,151,49,Direct,,,,Haley Mack,170.0,61.0,575,1358,Home Team,151,170.0,49,61.0,22.47220505424423,1,Close Lead,"[178, 177]",178,177,Advantage,Yes,Yes
1362,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:29,5,4,2,1,Boston Pride,Lauren Kelly,Incomplete Play,22,31,Direct,,,,Taylor Turnquist,18.0,13.0,569,1362,Away Team,178,182.0,54,72.0,18.439088914585774,-1,Close Trail,"[174, 174]",174,174,Shorthanded,No,No
1364,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:26,5,4,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,134,76,Direct,,,,Meghan Lorence,164.0,80.0,566,1364,Home Team,134,164.0,76,80.0,30.265491900843116,1,Close Lead,"[187, 174]",187,174,Advantage,Yes,No
1365,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:24,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Incomplete Play,153,80,Indirect,,,,Haley Mack,173.0,83.0,564,1365,Home Team,153,173.0,80,83.0,20.223748416156685,1,Close Lead,"[189, 175]",189,175,Advantage,Yes,No
1367,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:21,5,4,2,1,Boston Pride,Taylor Turnquist,Play,3,33,Indirect,,,,Meghara McManus,80.0,85.0,561,1367,Away Team,197,120.0,52,0.0,92.91393867445294,-1,Close Trail,"[175, 175]",175,175,Shorthanded,No,Yes
1369,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:15,5,4,2,1,Boston Pride,Meghara McManus,Play,163,57,Direct,,,,Carlee Turner,164.0,35.0,555,1369,Away Team,37,36.0,28,50.0,22.02271554554524,-1,Close Trail,"[178, 178]",178,178,Shorthanded,No,Yes
1373,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:11,5,4,2,1,Minnesota Whitecaps,Audra Richards,Play,32,57,Direct,,,,Sydney Baldwin,16.0,58.0,551,1373,Home Team,32,16.0,57,58.0,16.031219541881402,1,Close Lead,"[181, 178]",181,178,Advantage,Yes,Yes
1374,2021-01-23,Minnesota Whitecaps,Boston Pride,3,9:03,5,4,2,1,Minnesota Whitecaps,Sydney Baldwin,Incomplete Play,75,31,Direct,,,,Stephanie Anderson,110.0,3.0,543,1374,Home Team,75,110.0,31,3.0,44.82186966202993,1,Close Lead,"[184, 184]",184,184,Advantage,No,No
1376,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:58,5,4,2,1,Minnesota Whitecaps,Stephanie Anderson,Incomplete Play,197,44,Indirect,,,,Haley Mack,194.0,64.0,538,1376,Home Team,197,194.0,44,64.0,20.223748416156685,1,Close Lead,"[188, 186]",188,186,Advantage,Yes,No
1378,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:57,5,4,2,1,Boston Pride,Lauren Kelly,Incomplete Play,1,34,Indirect,,,,Taylor Turnquist,8.0,40.0,537,1378,Away Team,199,192.0,51,45.0,9.219544457292887,-1,Close Trail,"[183, 183]",183,183,Shorthanded,No,No
1380,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:55,5,4,2,1,Boston Pride,Lauren Kelly,Play,2,58,Direct,,,,Lexie Laing,39.0,82.0,535,1380,Away Team,198,161.0,27,3.0,44.10215414239989,-1,Close Trail,"[178, 178]",178,178,Shorthanded,No,No
1381,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:51,5,4,2,1,Boston Pride,Lexie Laing,Incomplete Play,57,83,Direct,,,,Mary Parker,78.0,64.0,531,1381,Away Team,143,122.0,2,21.0,28.319604517012596,-1,Close Trail,"[181, 181]",181,181,Shorthanded,No,No
1384,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:37,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Play,143,21,Indirect,,,,Audra Richards,138.0,7.0,517,1384,Home Team,143,138.0,21,7.0,14.866068747318506,1,Close Lead,"[189, 189]",189,189,Advantage,No,Yes
1385,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:36,5,4,2,1,Minnesota Whitecaps,Audra Richards,Play,149,5,Direct,,,,Stephanie Anderson,154.0,36.0,516,1385,Home Team,149,154.0,5,36.0,31.40063693621516,1,Close Lead,"[190, 190]",190,190,Advantage,No,Yes
1386,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:35,5,4,2,1,Minnesota Whitecaps,Stephanie Anderson,Play,154,36,Direct,,,,Sydney Baldwin,140.0,34.0,515,1386,Home Team,154,140.0,36,34.0,14.142135623730953,1,Close Lead,"[190, 190]",190,190,Advantage,No,Yes
1389,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:29,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,130,80,Indirect,,,,Meghan Lorence,160.0,81.0,509,1389,Home Team,130,160.0,80,81.0,30.01666203960727,1,Close Lead,"[196, 191]",196,191,Even,Yes,Yes
1390,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:27,5,5,2,1,Minnesota Whitecaps,Meghan Lorence,Play,148,82,Direct,,,,Haley Mack,174.0,79.0,507,1390,Home Team,148,174.0,82,79.0,26.1725046566048,1,Close Lead,"[191, 191]",191,191,Even,No,No
1391,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:24,5,5,2,1,Minnesota Whitecaps,Haley Mack,Incomplete Play,157,53,Direct,,,,Audra Richards,167.0,29.0,504,1391,Home Team,157,167.0,53,29.0,26.0,1,Close Lead,"[193, 193]",193,193,Even,No,No
1393,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:19,5,5,2,1,Boston Pride,Jenna Rheault,Play,80,74,Direct,,,,Samantha Davis,103.0,61.0,499,1393,Away Team,120,97.0,11,24.0,26.41968962724581,-1,Close Trail,"[195, 195]",195,195,Even,No,Yes
1395,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:16,5,5,2,1,Boston Pride,Samantha Davis,Incomplete Play,152,61,Direct,,,,Paige Capistran,152.0,45.0,496,1395,Away Team,48,48.0,24,40.0,16.0,-1,Close Trail,"[195, 195]",195,195,Even,No,No
1397,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:13,5,5,2,1,Boston Pride,Taylor Wenczkowski,Play,154,5,Indirect,,,,Samantha Davis,199.0,43.0,493,1397,Away Team,46,1.0,80,42.0,58.89821729050889,-1,Close Trail,"[195, 195]",195,195,Even,No,Yes
1398,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:09,5,5,2,1,Boston Pride,Samantha Davis,Play,187,61,Direct,,,,Jenna Rheault,171.0,57.0,489,1398,Away Team,13,29.0,24,28.0,16.492422502470642,-1,Close Trail,"[199, 199]",199,199,Even,No,Yes
1403,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:07,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,17,45,Direct,,,,Audra Richards,33.0,44.0,487,1403,Home Team,17,33.0,45,44.0,16.031219541881402,1,Close Lead,"[189, 189]",189,189,Even,No,No
1407,2021-01-23,Minnesota Whitecaps,Boston Pride,3,8:02,5,5,2,1,Boston Pride,McKenna Brand,Play,167,25,Direct,,,,Mallory Souliotis,127.0,22.0,482,1407,Away Team,33,73.0,60,63.0,40.11234224026316,-1,Close Trail,"[186, 186]",186,186,Even,No,No
1413,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:52,5,5,2,1,Boston Pride,McKenna Brand,Play,80,69,Indirect,,,,Kaleigh Fratkin,61.0,83.0,472,1413,Away Team,120,139.0,16,2.0,23.60084744241189,-1,Close Trail,"[192, 184]",192,184,Even,Yes,No
1414,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:51,5,5,2,1,Boston Pride,Kaleigh Fratkin,Incomplete Play,61,83,Indirect,,,,McKenna Brand,85.0,78.0,471,1414,Away Team,139,115.0,2,7.0,24.515301344262525,-1,Close Trail,"[183, 183]",183,183,Even,No,No
1416,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:49,5,5,2,1,Minnesota Whitecaps,Emma Stauber,Incomplete Play,88,2,Indirect,,,,Meaghan Pezon,107.0,4.0,469,1416,Home Team,88,107.0,2,4.0,19.104973174542803,1,Close Lead,"[187, 183]",187,183,Even,Yes,No
1418,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:46,5,5,2,1,Minnesota Whitecaps,Jonna Curtis,Incomplete Play,86,29,Direct,,,,Allie Thunstrom,99.0,44.0,466,1418,Home Team,86,99.0,29,44.0,19.849433241279208,1,Close Lead,"[190, 183]",190,183,Even,Yes,No
1423,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:40,5,5,2,1,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Incomplete Play,95,73,Direct,,,,Meaghan Pezon,117.0,71.0,460,1423,Home Team,95,117.0,73,71.0,22.09072203437452,1,Close Lead,"[177, 177]",177,177,Even,No,No
1425,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:38,5,5,2,1,Boston Pride,Mallory Souliotis,Play,68,29,Direct,,,,McKenna Brand,88.0,50.0,458,1425,Away Team,132,112.0,56,35.0,29.0,-1,Close Trail,"[177, 177]",177,177,Even,No,Yes
1426,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:37,5,5,2,1,Boston Pride,McKenna Brand,Play,74,59,Direct,,,,Kaleigh Fratkin,56.0,65.0,457,1426,Away Team,126,144.0,26,20.0,18.973665961010283,-1,Close Trail,"[178, 178]",178,178,Even,No,No
1427,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:33,5,5,2,1,Boston Pride,Kaleigh Fratkin,Play,78,41,Direct,,,,McKenna Brand,104.0,6.0,453,1427,Away Team,122,96.0,44,79.0,43.60045871318328,-1,Close Trail,"[182, 182]",182,182,Even,No,No
1433,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:22,5,4,2,1,Minnesota Whitecaps,Audra Richards,Play,198,54,Indirect,,,,Stephanie Anderson,199.0,56.0,442,1433,Home Team,198,199.0,54,56.0,2.23606797749979,1,Close Lead,"[187, 178]",187,178,Advantage,Yes,Yes
1434,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:19,5,4,2,1,Minnesota Whitecaps,Stephanie Anderson,Incomplete Play,190,68,Direct,,,,Sydney Baldwin,160.0,63.0,439,1434,Home Team,190,160.0,68,63.0,30.413812651491103,1,Close Lead,"[190, 176]",190,176,Advantage,Yes,No
1436,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:11,5,4,2,1,Minnesota Whitecaps,Haley Mack,Incomplete Play,4,52,Indirect,,,,Meghan Lorence,9.0,64.0,431,1436,Home Team,4,9.0,52,64.0,13.0,1,Close Lead,"[198, 177]",198,177,Advantage,Yes,No
1439,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:01,5,4,2,1,Minnesota Whitecaps,Stephanie Anderson,Play,17,81,Indirect,,,,Meghan Lorence,46.0,82.0,421,1439,Home Team,17,46.0,81,82.0,29.017236257093817,1,Close Lead,"[184, 180]",184,180,Advantage,Yes,Yes
1440,2021-01-23,Minnesota Whitecaps,Boston Pride,3,7:01,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Play,46,82,Direct,,,,Sydney Baldwin,43.0,57.0,421,1440,Home Team,46,43.0,82,57.0,25.179356624028344,1,Close Lead,"[184, 180]",184,180,Advantage,Yes,Yes
1441,2021-01-23,Minnesota Whitecaps,Boston Pride,3,6:59,5,4,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,61,44,Direct,,,,Haley Mack,86.0,22.0,419,1441,Home Team,61,86.0,44,22.0,33.301651610693426,1,Close Lead,"[186, 179]",186,179,Advantage,Yes,Yes
1443,2021-01-23,Minnesota Whitecaps,Boston Pride,3,6:50,5,4,2,1,Minnesota Whitecaps,Haley Mack,Play,195,16,Indirect,,,,Audra Richards,198.0,24.0,410,1443,Home Team,195,198.0,16,24.0,8.54400374531753,1,Close Lead,"[195, 186]",195,186,Advantage,Yes,Yes
1444,2021-01-23,Minnesota Whitecaps,Boston Pride,3,6:48,5,4,2,1,Minnesota Whitecaps,Audra Richards,Play,196,32,Indirect,,,,Meghan Lorence,196.0,59.0,408,1444,Home Team,196,196.0,32,59.0,27.0,1,Close Lead,"[197, 185]",197,185,Advantage,Yes,Yes
1445,2021-01-23,Minnesota Whitecaps,Boston Pride,3,6:46,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Play,195,59,Direct,,,,Sydney Baldwin,136.0,35.0,406,1445,Home Team,195,136.0,59,35.0,63.69458375717672,1,Close Lead,"[185, 185]",185,185,Advantage,No,Yes
