,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,HQ_Pass
7228,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:42,5,5,0,0,Olympic (Women) - Canada,Haley Irwin,Incomplete Play,169,1,Indirect,,,,Natalie Spooner,184.0,60.0,762,7229,Away Team,31,16.0,84,25.0,60.87692502,0,Tied,"[0, 0]",0,0,Even,No
7230,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:38,5,5,0,0,Olympic (Women) - United States,Lee Stecklein,Play,3,22,Indirect,,,,Monique Lamoureux,34.0,2.0,758,7231,Home Team,3,34.0,22,2.0,36.89173349,0,Tied,"[0, 0]",0,0,Even,No
7233,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:30,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Play,7,64,Indirect,,,,Lauriane Rougeau,10.0,15.0,750,7234,Away Team,193,190.0,21,70.0,49.09175083,0,Tied,"[2, 2]",2,2,Even,No
7234,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:28,5,5,0,0,Olympic (Women) - Canada,Lauriane Rougeau,Incomplete Play,15,7,Indirect,,,,Haley Irwin,48.0,2.0,748,7235,Away Team,185,152.0,78,83.0,33.37663854,0,Tied,"[2, 2]",2,2,Even,No
7236,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:27,5,5,0,0,Olympic (Women) - United States,Sidney Morin,Incomplete Play,139,79,Indirect,,,,Kelly Pannek,174.0,83.0,747,7237,Home Team,139,174.0,79,83.0,35.22782991,0,Tied,"[0, 0]",0,0,Even,No
7241,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:19,5,5,0,0,Olympic (Women) - United States,Lee Stecklein,Incomplete Play,55,51,Indirect,,,,Monique Lamoureux,103.0,15.0,739,7242,Home Team,55,103.0,51,15.0,60.0,0,Tied,"[1, 1]",1,1,Even,No
7243,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:17,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Incomplete Play,76,67,Direct,,,,Natalie Spooner,97.0,59.0,737,7244,Away Team,124,103.0,18,26.0,22.47220505,0,Tied,"[0, 0]",0,0,Even,No
7248,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:08,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Incomplete Play,24,2,Indirect,,,,Natalie Spooner,38.0,1.0,728,7249,Away Team,176,162.0,83,84.0,14.03566885,0,Tied,"[1, 1]",1,1,Even,No
7250,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:05,5,5,0,0,Olympic (Women) - United States,Kelly Pannek,Play,173,85,Direct,,,,Jocelyne Lamoureux,139.0,84.0,725,7251,Home Team,173,139.0,85,84.0,34.0147027,0,Tied,"[0, 0]",0,0,Even,No
7251,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,12:02,5,5,0,0,Olympic (Women) - United States,Jocelyne Lamoureux,Incomplete Play,138,81,Indirect,,,,Kelly Pannek,176.0,83.0,722,7252,Home Team,138,176.0,81,83.0,38.05259518,0,Tied,"[3, 3]",3,3,Even,No
7253,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:57,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Play,21,79,Indirect,,,,Rebecca Johnston,70.0,79.0,717,7254,Away Team,179,130.0,6,6.0,49.0,0,Tied,"[1, 1]",1,1,Even,Yes
7254,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:54,5,5,0,0,Olympic (Women) - Canada,Rebecca Johnston,Play,83,77,Indirect,,,,Renata Fast,83.0,71.0,714,7255,Away Team,117,117.0,8,14.0,6.0,0,Tied,"[3, 3]",3,3,Even,No
7264,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:38,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Incomplete Play,15,75,Direct,,,,Laura Stacey,49.0,77.0,698,7265,Away Team,185,151.0,10,8.0,34.05877273,0,Tied,"[3, 3]",3,3,Even,No
7266,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:34,5,5,0,0,Olympic (Women) - United States,Meghan Duggan,Incomplete Play,126,10,Direct,,,,Haley Skarupa,133.0,41.0,694,7267,Home Team,126,133.0,10,41.0,31.78049716,0,Tied,"[1, 1]",1,1,Even,No
7268,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:29,5,5,0,0,Olympic (Women) - United States,Cayla Barnes,Play,42,82,Direct,,,,Meghan Duggan,55.0,69.0,689,7269,Home Team,42,55.0,82,69.0,18.38477631,0,Tied,"[1, 1]",1,1,Even,Yes
7269,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:27,5,5,0,0,Olympic (Women) - United States,Meghan Duggan,Incomplete Play,78,80,Direct,,,,Gigi Marvin,82.0,58.0,687,7270,Home Team,78,82.0,80,58.0,22.36067977,0,Tied,"[2, 2]",2,2,Even,No
7271,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:25,5,5,0,0,Olympic (Women) - United States,Meghan Duggan,Play,113,82,Direct,,,,Haley Skarupa,116.0,59.0,685,7272,Home Team,113,116.0,82,59.0,23.19482701,0,Tied,"[1, 1]",1,1,Even,Yes
7278,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:17,5,5,0,0,Olympic (Women) - Canada,Lauriane Rougeau,Play,46,81,Indirect,,,,Melodie Daoust,87.0,81.0,677,7279,Away Team,154,113.0,4,4.0,41.0,0,Tied,"[1, 1]",1,1,Even,Yes
7282,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:13,5,5,0,0,Olympic (Women) - Canada,Meghan Agosta,Incomplete Play,186,79,Direct,,,,Melodie Daoust,170.0,52.0,673,7283,Away Team,14,30.0,6,33.0,31.38470965,0,Tied,"[0, 0]",0,0,Even,No
7284,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:09,5,5,0,0,Olympic (Women) - United States,Brianna Decker,Play,7,69,Indirect,,,,Hilary Knight,52.0,83.0,669,7285,Home Team,7,52.0,69,83.0,47.12748667,0,Tied,"[1, 1]",1,1,Even,Yes
7285,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:08,5,5,0,0,Olympic (Women) - United States,Hilary Knight,Play,52,83,Direct,,,,Kendall Coyne Schofield,60.0,70.0,668,7286,Home Team,52,60.0,83,70.0,15.26433752,0,Tied,"[1, 1]",1,1,Even,Yes
7288,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,11:02,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,1,27,Indirect,,,,Marie-Philip Poulin,50.0,2.0,662,7289,Away Team,199,150.0,58,83.0,55.00909016,0,Tied,"[0, 0]",0,0,Even,Yes
7289,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:58,5,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,90,2,Direct,,,,Meghan Agosta,102.0,22.0,658,7290,Away Team,110,98.0,83,63.0,23.32380758,0,Tied,"[4, 4]",4,4,Even,Yes
7296,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:48,5,5,0,0,Olympic (Women) - United States,Kali Flanagan,Incomplete Play,12,7,Indirect,,,,Amanda Kessel,43.0,79.0,648,7297,Home Team,12,43.0,7,79.0,78.39005039,0,Tied,"[0, 0]",0,0,Even,No
7298,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:44,5,5,0,0,Olympic (Women) - Canada,Jennifer Wakefield,Play,173,1,Indirect,,,,Brianne Jenner,198.0,32.0,644,7299,Away Team,27,2.0,84,53.0,39.8246155,0,Tied,"[1, 1]",1,1,Even,No
7299,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:42,5,5,0,0,Olympic (Women) - Canada,Brianne Jenner,Incomplete Play,199,32,Direct,,,,Rebecca Johnston,167.0,37.0,642,7300,Away Team,1,33.0,53,48.0,32.38826948,0,Tied,"[2, 2]",2,2,Even,No
7301,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:39,5,5,0,0,Olympic (Women) - United States,Amanda Kessel,Incomplete Play,51,85,Direct,,,,Dani Cameranesi,81.0,44.0,639,7302,Home Team,51,81.0,85,44.0,50.80354318,0,Tied,"[1, 1]",1,1,Even,No
7303,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:36,5,5,0,0,Olympic (Women) - Canada,Brigette Lacquette,Play,83,71,Direct,,,,Jocelyne Larocque,59.0,23.0,636,7304,Away Team,117,141.0,14,62.0,53.66563146,0,Tied,"[1, 1]",1,1,Even,Yes
7304,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:34,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Play,67,7,Indirect,,,,Rebecca Johnston,108.0,5.0,634,7305,Away Team,133,92.0,78,80.0,41.0487515,0,Tied,"[2, 2]",2,2,Even,Yes
7306,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:31,5,5,0,0,Olympic (Women) - Canada,Rebecca Johnston,Incomplete Play,144,2,Indirect,,,,Brianne Jenner,185.0,19.0,631,7307,Away Team,56,15.0,83,66.0,44.38468204,0,Tied,"[1, 1]",1,1,Even,No
7308,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:28,5,5,0,0,Olympic (Women) - United States,Kali Flanagan,Incomplete Play,3,35,Indirect,,,,Dani Cameranesi,44.0,5.0,628,7309,Home Team,3,44.0,35,5.0,50.80354318,0,Tied,"[0, 0]",0,0,Even,No
7313,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:23,5,4,0,0,Olympic (Women) - United States,Kendall Coyne Schofield,Play,150,23,Direct,,,,Kacey Bellamy,127.0,19.0,623,7314,Home Team,150,127.0,23,19.0,23.34523506,0,Tied,"[0, 0]",0,0,Advantage,Yes
7314,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:21,5,4,0,0,Olympic (Women) - United States,Kacey Bellamy,Play,130,19,Direct,,,,Sidney Morin,133.0,51.0,621,7315,Home Team,130,133.0,19,51.0,32.14031736,0,Tied,"[2, 2]",2,2,Advantage,Yes
7315,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:19,5,4,0,0,Olympic (Women) - United States,Sidney Morin,Play,136,63,Direct,,,,Kacey Bellamy,132.0,27.0,619,7316,Home Team,136,132.0,63,27.0,36.22154055,0,Tied,"[2, 2]",2,2,Advantage,Yes
7316,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:18,5,4,0,0,Olympic (Women) - United States,Kacey Bellamy,Incomplete Play,132,27,Direct,,,,Sidney Morin,136.0,64.0,618,7317,Home Team,132,136.0,27,64.0,37.21558813,0,Tied,"[1, 1]",1,1,Advantage,No
7318,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:15,5,4,0,0,Olympic (Women) - United States,Sidney Morin,Play,86,68,Direct,,,,Kacey Bellamy,68.0,35.0,615,7319,Home Team,86,68.0,68,35.0,37.58989226,0,Tied,"[0, 0]",0,0,Advantage,Yes
7319,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:12,5,4,0,0,Olympic (Women) - United States,Kacey Bellamy,Play,86,19,Direct,,,,Kendall Coyne Schofield,123.0,79.0,612,7320,Home Team,86,123.0,19,79.0,70.49113419,0,Tied,"[3, 3]",3,3,Advantage,Yes
7321,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:09,5,4,0,0,Olympic (Women) - United States,Kendall Coyne Schofield,Play,147,72,Direct,,,,Brianna Decker,165.0,52.0,609,7322,Home Team,147,165.0,72,52.0,26.90724809,0,Tied,"[2, 2]",2,2,Advantage,Yes
7326,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,10:00,5,4,0,0,Olympic (Women) - United States,Maddie Rooney,Play,4,37,Indirect,,,,Sidney Morin,4.0,37.0,600,7327,Home Team,4,4.0,37,37.0,0.0,0,Tied,"[1, 1]",1,1,Advantage,Yes
7327,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:57,5,4,0,0,Olympic (Women) - United States,Sidney Morin,Play,25,26,Direct,,,,Kendall Coyne Schofield,72.0,9.0,597,7328,Home Team,25,72.0,26,9.0,49.979996,0,Tied,"[3, 3]",3,3,Advantage,Yes
7328,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:55,5,4,0,0,Olympic (Women) - United States,Kendall Coyne Schofield,Play,89,6,Direct,,,,Brianna Decker,108.0,29.0,595,7329,Home Team,89,108.0,6,29.0,29.83286778,0,Tied,"[2, 2]",2,2,Advantage,Yes
7329,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:55,5,4,0,0,Olympic (Women) - United States,Brianna Decker,Play,108,29,Direct,,,,Hilary Knight,119.0,5.0,595,7330,Home Team,108,119.0,29,5.0,26.40075756,0,Tied,"[0, 0]",0,0,Advantage,Yes
7330,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:52,5,4,0,0,Olympic (Women) - United States,Hilary Knight,Play,119,5,Direct,,,,Kacey Bellamy,118.0,39.0,592,7331,Home Team,119,118.0,5,39.0,34.0147027,0,Tied,"[3, 3]",3,3,Advantage,Yes
7331,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:51,5,4,0,0,Olympic (Women) - United States,Kacey Bellamy,Play,115,27,Direct,,,,Hilary Knight,129.0,10.0,591,7332,Home Team,115,129.0,27,10.0,22.02271555,0,Tied,"[1, 1]",1,1,Advantage,Yes
7335,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:49,5,4,0,0,Olympic (Women) - United States,Hannah Brandt,Play,121,12,Direct,,,,Megan Keller,97.0,14.0,589,7336,Home Team,121,97.0,12,14.0,24.08318916,0,Tied,"[0, 0]",0,0,Advantage,Yes
7336,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:47,5,4,0,0,Olympic (Women) - United States,Megan Keller,Play,90,27,Direct,,,,Emily Pfalzer,85.0,52.0,587,7337,Home Team,90,85.0,27,52.0,25.49509757,0,Tied,"[2, 2]",2,2,Advantage,Yes
7337,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:44,5,4,0,0,Olympic (Women) - United States,Emily Pfalzer,Play,77,59,Indirect,,,,Hannah Brandt,59.0,68.0,584,7338,Home Team,77,59.0,59,68.0,20.1246118,0,Tied,"[3, 3]",3,3,Advantage,Yes
7338,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:40,5,4,0,0,Olympic (Women) - United States,Hannah Brandt,Play,64,35,Direct,,,,Megan Keller,96.0,5.0,580,7339,Home Team,64,96.0,35,5.0,43.8634244,0,Tied,"[4, 4]",4,4,Advantage,Yes
7341,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:35,5,4,0,0,Olympic (Women) - Canada,Sarah Nurse,Incomplete Play,1,57,Indirect,,,,Laura Fortino,6.0,22.0,575,7342,Away Team,199,194.0,28,63.0,35.35533906,0,Tied,"[0, 0]",0,0,Shorthanded,No
7343,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:31,5,4,0,0,Olympic (Women) - United States,Dani Cameranesi,Play,168,84,Indirect,,,,Megan Keller,191.0,77.0,571,7344,Home Team,168,191.0,84,77.0,24.04163056,0,Tied,"[2, 2]",2,2,Advantage,Yes
7344,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:29,5,4,0,0,Olympic (Women) - United States,Megan Keller,Play,192,67,Direct,,,,Amanda Kessel,198.0,61.0,569,7345,Home Team,192,198.0,67,61.0,8.485281374,0,Tied,"[2, 2]",2,2,Advantage,No
7345,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:28,5,4,0,0,Olympic (Women) - United States,Amanda Kessel,Play,199,54,Direct,,,,Hannah Brandt,190.0,9.0,568,7346,Home Team,199,190.0,54,9.0,45.89117562,0,Tied,"[1, 1]",1,1,Advantage,No
7349,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:21,5,4,0,0,Olympic (Women) - United States,Emily Pfalzer,Play,130,7,Indirect,,,,Hannah Brandt,182.0,9.0,561,7350,Home Team,130,182.0,7,9.0,52.03844733,0,Tied,"[0, 0]",0,0,Advantage,Yes
7350,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:19,5,4,0,0,Olympic (Women) - United States,Hannah Brandt,Play,182,9,Direct,,,,Amanda Kessel,159.0,4.0,559,7351,Home Team,182,159.0,9,4.0,23.53720459,0,Tied,"[2, 2]",2,2,Advantage,Yes
7351,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:17,5,4,0,0,Olympic (Women) - United States,Amanda Kessel,Play,159,4,Direct,,,,Emily Pfalzer,130.0,24.0,557,7352,Home Team,159,130.0,4,24.0,35.22782991,0,Tied,"[2, 2]",2,2,Advantage,Yes
7356,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:11,5,4,0,0,Olympic (Women) - United States,Monique Lamoureux,Play,172,2,Direct,,,,Jocelyne Lamoureux,154.0,8.0,551,7357,Home Team,172,154.0,2,8.0,18.97366596,0,Tied,"[0, 0]",0,0,Advantage,Yes
7357,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:09,5,4,0,0,Olympic (Women) - United States,Jocelyne Lamoureux,Play,139,10,Indirect,,,,Monique Lamoureux,152.0,3.0,549,7358,Home Team,139,152.0,10,3.0,14.76482306,0,Tied,"[2, 2]",2,2,Advantage,Yes
7358,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:07,5,4,0,0,Olympic (Women) - United States,Monique Lamoureux,Play,152,3,Direct,,,,Lee Stecklein,129.0,8.0,547,7359,Home Team,152,129.0,3,8.0,23.53720459,0,Tied,"[2, 2]",2,2,Advantage,Yes
7359,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:05,5,4,0,0,Olympic (Women) - United States,Lee Stecklein,Play,129,5,Direct,,,,Monique Lamoureux,149.0,4.0,545,7360,Home Team,129,149.0,5,4.0,20.02498439,0,Tied,"[2, 2]",2,2,Advantage,Yes
7360,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:04,5,4,0,0,Olympic (Women) - United States,Monique Lamoureux,Play,149,4,Direct,,,,Kelly Pannek,179.0,3.0,544,7361,Home Team,149,179.0,4,3.0,30.01666204,0,Tied,"[1, 1]",1,1,Advantage,Yes
7361,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,9:00,5,4,0,0,Olympic (Women) - United States,Kelly Pannek,Play,170,12,Indirect,,,,Monique Lamoureux,195.0,29.0,540,7362,Home Team,170,195.0,12,29.0,30.23243292,0,Tied,"[4, 4]",4,4,Advantage,Yes
7362,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:58,5,4,0,0,Olympic (Women) - United States,Monique Lamoureux,Play,196,25,Direct,,,,Jocelyne Lamoureux,168.0,4.0,538,7363,Home Team,196,168.0,25,4.0,35.0,0,Tied,"[2, 2]",2,2,Advantage,Yes
7363,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:57,5,4,0,0,Olympic (Women) - United States,Jocelyne Lamoureux,Play,168,4,Direct,,,,Lee Stecklein,128.0,6.0,537,7364,Home Team,168,128.0,4,6.0,40.04996879,0,Tied,"[1, 1]",1,1,Advantage,Yes
7364,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:55,5,4,0,0,Olympic (Women) - United States,Lee Stecklein,Play,128,14,Direct,,,,Cayla Barnes,134.0,66.0,535,7365,Home Team,128,134.0,14,66.0,52.34500931,0,Tied,"[2, 2]",2,2,Advantage,Yes
7365,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:53,5,4,0,0,Olympic (Women) - United States,Cayla Barnes,Play,142,68,Direct,,,,Jocelyne Lamoureux,143.0,11.0,533,7366,Home Team,142,143.0,68,11.0,57.00877125,0,Tied,"[2, 2]",2,2,Advantage,Yes
7370,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:43,5,4,0,0,Olympic (Women) - United States,Cayla Barnes,Play,62,36,Indirect,,,,Lee Stecklein,45.0,40.0,523,7371,Home Team,62,45.0,36,40.0,17.4642492,0,Tied,"[3, 3]",3,3,Advantage,Yes
7371,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:41,5,4,0,0,Olympic (Women) - United States,Lee Stecklein,Play,54,20,Indirect,,,,Jocelyne Lamoureux,96.0,4.0,521,7372,Home Team,54,96.0,20,4.0,44.94441011,0,Tied,"[2, 2]",2,2,Advantage,Yes
7372,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:40,5,4,0,0,Olympic (Women) - United States,Jocelyne Lamoureux,Play,96,4,Direct,,,,Monique Lamoureux,112.0,29.0,520,7373,Home Team,96,112.0,4,29.0,29.68164416,0,Tied,"[1, 1]",1,1,Advantage,Yes
7374,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:34,5,4,0,0,Olympic (Women) - United States,Monique Lamoureux,Incomplete Play,193,18,Indirect,,,,Lee Stecklein,129.0,9.0,514,7375,Home Team,193,129.0,18,9.0,64.62971453,0,Tied,"[4, 4]",4,4,Advantage,No
7376,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:30,5,4,0,0,Olympic (Women) - United States,Lee Stecklein,Play,103,20,Direct,,,,Cayla Barnes,87.0,61.0,510,7377,Home Team,103,87.0,20,61.0,44.01136217,0,Tied,"[2, 2]",2,2,Advantage,Yes
7377,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:28,5,4,0,0,Olympic (Women) - United States,Cayla Barnes,Play,66,60,Direct,,,,Lee Stecklein,47.0,14.0,508,7378,Home Team,66,47.0,60,14.0,49.76946855,0,Tied,"[2, 2]",2,2,Advantage,Yes
7378,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:25,5,4,0,0,Olympic (Women) - United States,Lee Stecklein,Play,66,3,Indirect,,,,Kacey Bellamy,52.0,75.0,505,7379,Home Team,66,52.0,3,75.0,73.34848328,0,Tied,"[3, 3]",3,3,Advantage,Yes
7379,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:20,5,5,0,0,Olympic (Women) - United States,Kacey Bellamy,Play,39,30,Direct,,,,Hilary Knight,71.0,48.0,500,7380,Home Team,39,71.0,30,48.0,36.7151195,0,Tied,"[5, 5]",5,5,Even,Yes
7384,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:12,5,5,0,0,Olympic (Women) - United States,Kendall Coyne Schofield,Play,175,82,Direct,,,,Brianna Decker,182.0,82.0,492,7385,Home Team,175,182.0,82,82.0,7.0,0,Tied,"[0, 0]",0,0,Even,No
7386,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,8:09,5,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Incomplete Play,22,2,Indirect,,,,Meghan Agosta,33.0,2.0,489,7387,Away Team,178,167.0,83,83.0,11.0,0,Tied,"[0, 0]",0,0,Even,No
7393,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:49,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Play,77,6,Indirect,,,,Melodie Daoust,92.0,8.0,469,7394,Away Team,123,108.0,79,77.0,15.13274595,0,Tied,"[3, 3]",3,3,Even,Yes
7395,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:42,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Incomplete Play,155,7,Direct,,,,Brianne Jenner,155.0,49.0,462,7396,Away Team,45,45.0,78,36.0,42.0,0,Tied,"[4, 4]",4,4,Even,No
7397,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:38,5,5,0,0,Olympic (Women) - Canada,Brianne Jenner,Play,187,72,Direct,,,,Melodie Daoust,149.0,37.0,458,7398,Away Team,13,51.0,13,48.0,51.66236541,0,Tied,"[2, 2]",2,2,Even,Yes
7402,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:31,5,5,0,0,Olympic (Women) - Canada,Brianne Jenner,Play,196,45,Direct,,,,Meghan Agosta,166.0,65.0,451,7403,Away Team,4,34.0,40,20.0,36.05551275,0,Tied,"[2, 2]",2,2,Even,Yes
7403,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:29,5,5,0,0,Olympic (Women) - Canada,Meghan Agosta,Play,165,69,Direct,,,,Brigette Lacquette,130.0,60.0,449,7404,Away Team,35,70.0,16,25.0,36.138622,0,Tied,"[2, 2]",2,2,Even,Yes
7406,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:19,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Incomplete Play,196,64,Direct,,,,Brianne Jenner,192.0,45.0,439,7407,Away Team,4,8.0,21,40.0,19.41648784,0,Tied,"[7, 7]",7,7,Even,No
7408,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:16,5,5,0,0,Olympic (Women) - United States,Sidney Morin,Incomplete Play,14,79,Direct,,,,Hilary Knight,71.0,81.0,436,7409,Home Team,14,71.0,79,81.0,57.03507693,0,Tied,"[0, 0]",0,0,Even,No
7410,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:14,5,5,0,0,Olympic (Women) - Canada,Meghan Agosta,Play,104,6,Direct,,,,Jennifer Wakefield,69.0,14.0,434,7411,Away Team,96,131.0,79,71.0,35.90264614,0,Tied,"[0, 0]",0,0,Even,Yes
7411,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:12,5,5,0,0,Olympic (Women) - Canada,Jennifer Wakefield,Play,67,33,Direct,,,,Jocelyne Larocque,130.0,79.0,432,7412,Away Team,133,70.0,52,6.0,78.00640999,0,Tied,"[2, 2]",2,2,Even,Yes
7415,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:02,5,5,0,0,Olympic (Women) - United States,Gigi Marvin,Play,21,17,Direct,,,,Meghan Duggan,40.0,3.0,422,7416,Home Team,21,40.0,17,3.0,23.60084744,0,Tied,"[3, 3]",3,3,Even,Yes
7416,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,7:00,5,5,0,0,Olympic (Women) - United States,Meghan Duggan,Play,39,3,Indirect,,,,Megan Keller,2.0,37.0,420,7417,Home Team,39,2.0,3,37.0,50.24937811,0,Tied,"[2, 2]",2,2,Even,Yes
7418,2/21/2018,Olympic (Women) - United States,Olympic (Women) - Canada,1,6:50,5,5,0,0,Olympic (Women) - United States,Meghan Duggan,Play,27,7,Direct,,,,Emily Pfalzer,34.0,66.0,410,7419,Home Team,27,34.0,7,66.0,59.41380311,0,Tied,"[1, 1]",1,1,Even,Yes
